ID,brand,model,vehiclenumber,cost,status,duration
1,suzuki,,43,38221,,0
2,suzuki25,,39,37026,,0
3,bajaj,,20,20341,,0
4,bajaj1,,58,52430,,0
5,honda,,25,39114,,0
6,suzuki,,62,34789,,0
7,suzuki25,,24,37258,,0
8,bajaj,,46,32825,,0
9,bajaj1,,64,26562,,0
10,honda,,41,47711,,0
11,suzuki,,25,23489,,0
12,suzuki25,,22,51519,,0
13,bajaj,,62,26828,,0
14,bajaj1,,45,23655,,0
15,honda,,34,26131,,0
16,suzuki,,20,34981,,0
17,suzuki25,,62,46052,,0
18,bajaj,,40,32468,,0
19,bajaj1,,45,51487,,0
20,honda,,33,42230,,0
21,suzuki,,58,46314,,0
22,suzuki25,,30,50563,,0
23,bajaj,,57,26789,,0
24,bajaj1,,32,51457,,0
25,honda,,66,24097,,0
26,suzuki,,40,44501,,0
27,suzuki25,,55,28172,,0
28,bajaj,,66,45657,,0
29,bajaj1,,68,27312,,0
30,honda,,29,25902,,0
31,suzuki,,65,21214,,0
32,suzuki25,,67,36820,,0
33,bajaj,,45,45348,,0
34,bajaj1,,54,44919,,0
35,honda,,63,31558,,0
36,suzuki,,69,28684,,0
37,suzuki25,,57,34284,,0
38,bajaj,,30,23965,,0
39,bajaj1,,43,24729,,0
40,honda,,46,49121,,0
41,suzuki,,35,44508,,0
42,suzuki25,,31,21520,,0
43,bajaj,,44,52170,,0
44,bajaj1,,43,22773,,0
45,honda,,30,24747,,0
46,suzuki,,54,41285,,0
47,suzuki25,,45,40948,,0
48,bajaj,,58,41007,,0
49,bajaj1,,33,23414,,0
50,honda,,38,42036,,0
51,suzuki,,27,46292,,0
52,suzuki25,,24,46137,,0
53,bajaj,,54,33594,,0
54,bajaj1,,37,49883,,0
55,honda,,41,49484,,0
56,suzuki,,56,44034,,0
57,suzuki25,,39,38749,,0
58,bajaj,,25,45241,,0
59,bajaj1,,40,21986,,0
60,honda,,58,25917,,0
61,suzuki,,33,29734,,0
62,suzuki25,,43,50515,,0
63,bajaj,,62,26431,,0
64,bajaj1,,39,25311,,0
65,honda,,27,25920,,0
66,suzuki,,45,25267,,0
67,suzuki25,,52,26800,,0
68,bajaj,,65,48037,,0
69,bajaj1,,58,34875,,0
70,honda,,60,27620,,0
71,suzuki,,50,30376,,0
72,suzuki25,,54,39052,,0
73,bajaj,,33,48907,,0
74,bajaj1,,57,52087,,0
75,honda,,56,37180,,0
76,suzuki,,67,50007,,0
77,suzuki25,,44,45703,,0
78,bajaj,,61,35329,,0
79,bajaj1,,65,26277,,0
80,honda,,57,50444,,0
81,suzuki,,23,25835,,0
82,suzuki25,,24,29851,,0
83,bajaj,,64,44482,,0
84,bajaj1,,56,38007,,0
85,honda,,20,21591,,0
86,suzuki,,33,21345,,0
87,suzuki25,,66,37012,,0
88,bajaj,,66,21670,,0
89,bajaj1,,54,44366,,0
90,honda,,47,45043,,0
91,suzuki,,67,42688,,0
92,suzuki25,,32,41835,,0
93,bajaj,,54,36152,,0
94,bajaj1,,40,44023,,0
95,honda,,61,32784,,0
96,suzuki,,36,30685,,0
97,suzuki25,,48,21728,,0
98,bajaj,,60,26517,,0
99,bajaj1,,49,48882,,0
100,honda,,20,37080,,0
101,suzuki,,59,35574,,0
102,suzuki25,,22,30713,,0
103,bajaj,,46,49911,,0
104,bajaj1,,69,29560,,0
105,honda,,63,20110,,0
106,suzuki,,33,28117,,0
107,suzuki25,,55,25430,,0
108,bajaj,,48,31138,,0
109,bajaj1,,49,22943,,0
110,honda,,34,27612,,0
111,suzuki,,22,47463,,0
112,suzuki25,,62,28795,,0
113,bajaj,,35,37766,,0
114,bajaj1,,66,52552,,0
115,honda,,58,31528,,0
116,suzuki,,45,50927,,0
117,suzuki25,,64,45952,,0
118,bajaj,,65,23637,,0
119,bajaj1,,41,26043,,0
120,honda,,30,52267,,0
